message;sha
[CI] Using master action code for checking rerun commands-- The rerun checks CI can not use ref to get all failure test actions. So I change to use sha of the commits to get all failure test actions to rerun. https://github.com/zymap/bot/pull/3/files--Reviewers: Enrico Olivelli <eolivelli@gmail.com>--This closes #2332 from zymap/fix-bot;8918fb8d5a2d44048edce0f128f97c56a582ba87
Issue #2106: Update ZookKeeper dependency to 3.5.7--Descriptions of the changes in this PR:--Updated ZooKeeper dependency from 3.4.13 to 3.5.7--Excluded transitive dependency to netty-all.--Updated maven-shade-pluging configuration in 'distributedlog-core-shaded' project. Package 'org.apache.jute' was moved to a ZooKeeper dependency (org.apache.zookeeper:zookeeper-jute), so i added the artifact to the artifactSet.----Updated license files:--- updated Zookeeper to 3.5.7--- removed Jline 2.11--- removed Netty 3.10.1--- added Zookeeper-jute 3.5.7----Master Issue: #2106 ------Reviewers: Matteo Minardi <minardi.matteo@hotmail.it>, Enrico Olivelli <eolivelli@gmail.com>, Jia Zhai <zhaijia@apache.org>--This closes #2112 from dmercuriali/fix/#2106-update-zookeeper, closes #2106;fe25574edc80f7c53141a0bd610bcf26d6b9b8d8
Do not download SNAPSHOT during GitHub actions checks--### Motivation----Sometimes GitHub actions checks are stuck in downloading SNAPSHOTs, there is not need for it----### Changes----Add "-nsu" option to every Maven invokations and remove "-Dstream" that is now useless.--I am also adding "-B" that suppresses the "Progress" noise in logs----This fix relates to #2294--Reviewers: Anup Ghatage <None>, Matteo Minardi <minardi.matteo@hotmail.it>, Rajan Dhabalia <rdhabalia@apache.org>--This closes #2323 from eolivelli/fix/no-snapshot-updates and squashes the following commits:--69b7817a4 [Enrico Olivelli] Add -B-3fa4523b2 [Enrico Olivelli] GitHub Actions: do not look for SNAPSHOT updates;34d35f033e1ef099e60ac75a9d59aecc6c5a2001
Rerun the failed tests by comments---------*Motivation*----Currently, non-committers cannot rerun the failure tests, we need to--provide the ability to let non-committer to rerun the failed tests.--I wrote a Github Actions that can rerun the failed test by comments--`rerun failure tests` and add it to the bookkeeper ci process.------Reviewers: Enrico Olivelli <eolivelli@gmail.com>--This closes #2309 from zymap/rerun-failure-job;d2b350845fc93c46dfdadbc498a78a37f74e6199
Issue #2212: Fix issues in Bookkeeper Docker image that prevented containers from starting up--Descriptions of the changes in this PR:----### Motivation----This PR modifies the Apache Bookkeeper Docker image to fix issues that were causing errors upon container bootstrap. The containers would exit soon after they were launched. See issue #2212 for a description of such an error. ----Note that the problems that are fixed in this PR were observed:----* when launching containers using both Docker Compose and Kubernetes.  --* when we were trying to upgrade the image to: `4.9.2`. It is highly likely that the issue is observed in other versions (except for `4.7.3`) too.  --* when launching both a standalone container as well as a cluster of three containers.----### Changes--The major changes made in this PR are as follows: --* Updates the `Dockerfile` to install `zk-shell`. --* Update the `init_bookie.sh` file to:--   * Use `zk-shell` instead of `/opt/bookkeeper/bin/bookkeeper org.apache.zookeeper.ZooKeeperMain` command that doesn't work. --  * Use `opt/bookkeeper/bin/bookkeeper shell initnewcluster` for initializing the cluster instead of the previously used command that did not work. --  * Increase the time a container waits for an in-flight `initnewcluster` operation. --  * Make the comments more descriptive.--* Modifies `bin/common.sh` to handle the condition when file `/proc/sys/net/ipv6/bindv6only` is missing in the system. This can prevent a container from starting up in some cases. We have seen this issue on some Kubernetes-based environments. --* Fixes errors in `docker-compose.yml` file. ----*Note:* Some of the changes made in this PR are modeled after changes made by sijie for `v4.7.2` in PR #1666 .----### Master Issue--#2212 --------Reviewers: Jia Zhai <zhaijia@apache.org>, Enrico Olivelli <eolivelli@gmail.com>--This closes #2219 from ravisharda/startup-failure-docker-image, closes #2212;092ebf2a7ec596db0357a072caf123b18a7f29e6
[DOC] SSLContextFactory -> TLSContextFactory--### Motivation--From 4.6.0 SSLContextFactory has been changed into TLSContextFactory. but some of the doc not updated.----### Changes--Updated related doc.--Reviewers: Sijie Guo <None>, Enrico Olivelli <eolivelli@gmail.com>--This closes #2307 from jiazhai/doc_outdate_ssl;94912a9fdca68391866baf598c36708e406728f8
ISSUE #2310: Adds the autorecovery status service.--Descriptions of the changes in this PR:--------### Motivation----It would be convenient to support enable, disable, or check the status of autorecovery with REST API, just like what does in the toggle command.----### Changes----Adds an API to enable, disable, and get the current status of autorecovery at `/api/v1/autorecovery/status`.----Master Issue: #2310 ------Reviewers: Sijie Guo <None>, Enrico Olivelli <eolivelli@gmail.com>, Matteo Minardi <minardi.matteo@hotmail.it>--This closes #2313 from fantapsody/autorecovery_status, closes #2310;a1b187e338fd5892df7816d48c153e61302483cc
Bump libthrift from 0.9.3 to 0.12.0 (#2201)--Bumps [libthrift](https://github.com/apache/thrift) from 0.9.3 to 0.12.0.--- [Release notes](https://github.com/apache/thrift/releases)--- [Changelog](https://github.com/apache/thrift/blob/master/CHANGES.md)--- [Commits](https://github.com/apache/thrift/compare/0.9.3...v0.12.0)----Signed-off-by: dependabot[bot] <support@github.com>----Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>;e4febdbf048afaf6bdcd8bede16ddd80db0cbc07
Fix mistakes in documentation--Fix minor mistakes in the sentences of the documentation----------Reviewers: Jia Zhai <zhaijia@apache.org>--This closes #2271 from yehohanan7/patch-1;380ed4ef79d0429f7d05d611b48915ac77638565
Add forkCount option to parallelize build and tests--### Motivation--Current code forks a new JVM per module. (bookkeeper-server, bookkeeper-proto etc)--This means one fork per module for build and testing, no parallelism within the module where majority of the time goes.--We need parallelism within a module during the test execution so we can have the builds complete faster and have the artifacts shipped out quicker.----### Changes--We use the maven surefire plugin but don't define the `forkCount` and hence set it to default of 1.--This means it executes each module with one thread.--This change sets `forkCount` to 5, enabling parallelism in testing and drastically reducing total turnaround time. (by about 2/3rds!)----*Total build+test time without this change*--```--[INFO] BUILD SUCCESS--[INFO] --------------------------------------------------------------------------[INFO] Total time:  01:06 h--[INFO] Finished at: 2020-03-05T02:01:29-08:00--[INFO] --------------------------------------------------------------------------```--*Total build+test time with this change*--```--[INFO] --------------------------------------------------------------------------[INFO] BUILD SUCCESS--[INFO] --------------------------------------------------------------------------[INFO] Total time:  18:23 min--[INFO] Finished at: 2020-03-05T02:38:22-08:00--[INFO] --------------------------------------------------------------------------```----### Things to watch--Added parallelism may cause some flappers but with much trial and error I have come to the number `5`. The flappers are usually only from conflict in obtaining the same port number.--If needed, we can increase the retryCount, but as of now I consistently don't see any flappers at a `forkCount` of 5--Reviewers: Enrico Olivelli <eolivelli@gmail.com>, Sijie Guo <None>--This closes #2278 from Ghatage/parallelizeBuildAndTests;e20a24a6aca44968fe6a597be31e08a552d38dec
ISSUE #2274: The 'metaformat' command does not delete 'idgen' znode--Descriptions of the changes in this PR:----### Motivation----After `metaformat`, ledgerId does not count from 0 because，the `metaformat` command does not delete `idgen` znode.----### Changes----In the `AbstractZkLedgerManagerFactory` avoid skipping the igen and idgen-long nodes----Master Issue: #2274--Reviewers: Enrico Olivelli <eolivelli@gmail.com>, Sijie Guo <None>--This closes #2315 from mino181295/leadger-metaformat, closes #2274;76286bc5505e4ba1cfeb47ce30bbe627d53f4869
Force to use Python grpcio less then 1.26.0--- it looks like a newer version of grpcio has been published and we were using open version range--- by forcing a closed ended range of version we workaround the error in integration tests--Reviewers: Jia Zhai <zhaijia@apache.org>, Matteo Minardi <minardi.matteo@hotmail.it>--This closes #2317 from eolivelli/fix/integration-tests-python;f1077a6fa48553d7d8b1cf164e2e5a4f37125204
Fix batch read data in cache does not take effect--Descriptions of the changes in this PR:--------### Motivation----Fix batch read data in cache does not take effect----### Changes----(Describe: what changes you have made)----Master Issue: #2230 --Fixes: #2230 --------Reviewers: Jia Zhai <zhaijia@apache.org>, Enrico Olivelli <eolivelli@gmail.com>, Sijie Guo <None>--This closes #2231 from liudezhi2098/issue-branch-xxx;45871dccbb72a5aee30f7bbfaacfa0d6c2c202a5
[bookie-server-config] Avoid considering empty journalDirectories--As discussed at : https://github.com/apache/pulsar/issues/6042----### Issue--We have config management tool which manages bookie-server configuration and sets empty value of `journalDirectories` if bookie-server is still wants to use single journal dir: `journalDirectory`. In this case, bookie-server doesn't consider `journalDirectory` value and keeps empty list of `journalDirectories` which stats bookie with invalid configuration.----### Expected behavior--Bookie-server should parse empty configuration `journalDirectories=` properly and avoid picking up empty value of `journalDirectories` and in that case, bookie-server should fallback to `journalDirectory` config.--Reviewers: Enrico Olivelli <eolivelli@gmail.com>, Sijie Guo <None>--This closes #2245 from rdhabalia/journal_dir;e7430ce25e3609bf77b028e4f0475dad2147c22d
Allow build on JDK14 - upgrade Groovy compiler--### Motivation----Current version of Groovy compiler for integration tests do not support JDK14----### Changes----Update Groovy Compiler--Update dockerfile-maven-plugin as well------Reviewers: Sijie Guo <None>--This closes #2298 from eolivelli/fix/build-jdk14;665565e9802c3aec4b49df5dd53967b6d1981ca6
Unable to enable TLS if using v2 protocol--Descriptions of the changes in this PR:----*Motivation*----TLS is enabled using `startTLS` but the `startTLS`--is a v3 protobuf request. So if the client is--configured to use v2 protocol, the client is not--able to decode `startTLSResponse`.----*Modifications*----This change is to improve the v2 protocol response handling for--handling `startTLS` response.------Reviewers: Enrico Olivelli <eolivelli@gmail.com>--This closes #2300 from sijie/fix_tls_v2_protocol;87981d420d0ae9d472d4e92b7abc145069e17e61
Update Arquillian Cube to 1.18.2--### Motivation--Update Arquillian to latest version--Reviewers: Rajan Dhabalia <rdhabalia@apache.org>--This closes #2297 from eolivelli/fix/update-arquillian;e482a125429d6b29382ea56b793daa5447927655
[BOOKIE-LEDGER-RECOVERY] Fix bookie recovery stuck even with enough ack-quorum response--### Motivation--As discussed at https://github.com/apache/pulsar/issues/6505 ----Bk-client was not able to recover ledger which has 2 write/ack quorum and one of the bookie went down and recovery was kept failing and bookkeeper client was not able to recover the ledger.----**BK-Client log**----```--20:44:43.721 [BookKeeperClientWorker-OrderedExecutor-1-0] ERROR org.apache.bookkeeper.client.ReadLastConfirmedOp - While readLastConfirmed ledger: 1234567 did not hear success responses from all quorums--20:44:43.721 [bookkeeper-io-12-27] ERROR org.apache.bookkeeper.proto.PerChannelBookieClient - Could not connect to bookie: [id: 0xb8b97441, L:/1.1.1.1:1234]/1.1.1.2:3181, current s--tate CONNECTING : --io.netty.channel.AbstractChannel$AnnotatedConnectException: finishConnect(..) failed: No route to host: /1.1.1.2:3181--        at io.netty.channel.unix.Errors.throwConnectException(Errors.java:112) ~[netty-all-4.1.32.Final.jar:4.1.32.Final]--        at io.netty.channel.unix.Socket.finishConnect(Socket.java:269) ~[netty-all-4.1.32.Final.jar:4.1.32.Final]--        at io.netty.channel.epoll.AbstractEpollChannel$AbstractEpollUnsafe.doFinishConnect(AbstractEpollChannel.java:665) [netty-transport-native-epoll-4.1.31.Final.jar:4.1.31.Final]--        at io.netty.channel.epoll.AbstractEpollChannel$AbstractEpollUnsafe.finishConnect(AbstractEpollChannel.java:642) [netty-transport-native-epoll-4.1.31.Final.jar:4.1.31.Final]--        at io.netty.channel.epoll.AbstractEpollChannel$AbstractEpollUnsafe.epollOutReady(AbstractEpollChannel.java:522) [netty-transport-native-epoll-4.1.31.Final.jar:4.1.31.Final]--        at io.netty.channel.epoll.EpollEventLoop.processReady(EpollEventLoop.java:423) [netty-transport-native-epoll-4.1.31.Final.jar:4.1.31.Final]--        at io.netty.channel.epoll.EpollEventLoop.run(EpollEventLoop.java:330) [netty-transport-native-epoll-4.1.31.Final.jar:4.1.31.Final]--        at io.netty.util.concurrent.SingleThreadEventExecutor$5.run(SingleThreadEventExecutor.java:897) [netty-common-4.1.31.Final.jar:4.1.31.Final]--        at io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30) [netty-common-4.1.31.Final.jar:4.1.31.Final]--        at java.lang.Thread.run(Thread.java:834) [?:?]--Caused by: java.net.ConnectException: finishConnect(..) failed: No route to host--```----**Ledger metadata**----```--BookieMetadataFormatVersion 2--quorumSize: 2--ensembleSize: 2--length: 0--lastEntryId: -1--state: IN_RECOVERY--segment {--  ensembleMember: "1.1.1.1:3181"--  ensembleMember: "1.1.1.2:3181"--  firstEntryId: 0--}--digestType: CRC32--```----**Root cause:**--Bookie should be able to recover ledger once it receives the response from total N (`(Qw - Qa)+1`) bookies. But it was waiting for a successful response from both quorums.--Reference: https://bookkeeper.apache.org/docs/4.5.0/development/protocol/----### Modification--Bookie should be able to recover ledger once it receives the response from total N (`(Qw - Qa)+1`) bookies.----Reviewers: Diego Salvi <diego.salvi@diennea.com>,  Enrico Olivelli <eolivelli@gmail.com>, Sijie Guo <sijie@apache.org>--This closes #2281 from rdhabalia/recover_q;86f58e8a7269c8e51f246386968ceed051375b8f
 #2288: add metadata to StreamStorage ledgers (#2296)--Descriptions of the changes in this PR:----Added 'application' and 'component' metadata to StreamStorage ledgers.--application: bk-stream-storage-service--component: state-store / checkpoint-store----Master Issue: #2288----* #2288 add metadata to StreamStorage ledgers----* #2288 add metadata to StreamStorage ledgers----Co-authored-by: Dennis Mercuriali <dennis.mercuriali@diennea.com>;c69772b1ace050b166ef69e3bc72d5f2c19cd5af
Remove old Jenkins stuff (#2293)--Remove old Jenkins stuff for GitHub Create Pull Request template--Co-authored-by: Enrico Olivelli <enrico.olivelli@diennea.com>;064c364e7bc20033fa7d0beac6286bfce8fb52bd
2279 fix NPE when exec readjournal command--Descriptions of the changes in this PR:--This PR fix NullPointerException when exec readjournal command--See issue #2279 ----Reviewers: Enrico Olivelli <eolivelli@gmail.com>, Sijie Guo <None>--This closes #2280 from aloyszhang/read-jounral;bd3d3b5473f1b8d90d681d03a128c9332c80425d
[BOOKIE-MTLS] add BouncyCastleProvider for security-provider to avoid InvalidKeyException--### Motivation--As described at: https://github.com/apache/pulsar/issues/5047----### Issue----Sometimes user  sees `Invalid TLS configuration` at bookie while loading PKCS8Key file and that can be fixed by using Bouncycastle provider.: https://stackoverflow.com/questions/6559272/algid-parse-error-not-a-sequence/18912362#18912362----```--2019-08-26 16:16:51,983 - ERROR - [BookKeeperClientWorker-OrderedExecutor-0-0:BookieClient179] - Security Exception in creating new default PCBC pool: --org.apache.bookkeeper.tls.SecurityException: Invalid TLS configuration--	at org.apache.bookkeeper.tls.TLSContextFactory.init(TLSContextFactory.java:392)--	at org.apache.bookkeeper.proto.PerChannelBookieClient.<init>(PerChannelBookieClient.java:266)--	at org.apache.bookkeeper.proto.BookieClient.create(BookieClient.java:155)--	at org.apache.bookkeeper.proto.DefaultPerChannelBookieClientPool.<init>(DefaultPerChannelBookieClientPool.java:71)--	at org.apache.bookkeeper.proto.BookieClient.lookupClient(BookieClient.java:168)--	at org.apache.bookkeeper.proto.BookieClient.addEntry(BookieClient.java:245)--	at org.apache.bookkeeper.client.PendingAddOp.sendWriteRequest(PendingAddOp.java:131)--	at org.apache.bookkeeper.client.PendingAddOp.safeRun(PendingAddOp.java:240)--	at org.apache.bookkeeper.common.util.SafeRunnable.run(SafeRunnable.java:36)--	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1142)--	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:617)--	at io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30)--	at java.lang.Thread.run(Thread.java:745)--Caused by: java.lang.IllegalArgumentException: File does not contain valid private key: /my.key.pem--	at io.netty.handler.ssl.SslContextBuilder.keyManager(SslContextBuilder.java:267)--	at org.apache.bookkeeper.tls.TLSContextFactory.createClientContext(TLSContextFactory.java:244)--	at org.apache.bookkeeper.tls.TLSContextFactory.init(TLSContextFactory.java:363)--	... 12 more--Caused by: java.security.spec.InvalidKeySpecException: Neither RSA, DSA nor EC worked--	at io.netty.handler.ssl.SslContext.getPrivateKeyFromByteBuffer(SslContext.java:1045)--	at io.netty.handler.ssl.SslContext.toPrivateKey(SslContext.java:1014)--	at io.netty.handler.ssl.SslContextBuilder.keyManager(SslContextBuilder.java:265)--	... 14 more--Caused by: java.security.spec.InvalidKeySpecException: java.security.InvalidKeyException: IOException : algid parse error, not a sequence--	at sun.security.ec.ECKeyFactory.engineGeneratePrivate(ECKeyFactory.java:169)--	at java.security.KeyFactory.generatePrivate(KeyFactory.java:372)--	at io.netty.handler.ssl.SslContext.getPrivateKeyFromByteBuffer(SslContext.java:1043)--	... 16 more--Caused by: java.security.InvalidKeyException: IOException : algid parse error, not a sequence--	at sun.security.pkcs.PKCS8Key.decode(PKCS8Key.java:351)--	at sun.security.pkcs.PKCS8Key.decode(PKCS8Key.java:356)--	at sun.security.ec.ECPrivateKeyImpl.<init>(ECPrivateKeyImpl.java:73)--	at sun.security.ec.ECKeyFactory.implGeneratePrivate(ECKeyFactory.java:237)--	at sun.security.ec.ECKeyFactory.engineGeneratePrivate(ECKeyFactory.java:165)--	... 18 more--```--Reviewers: Enrico Olivelli <eolivelli@gmail.com>, Sijie Guo <None>--This closes #2151 from rdhabalia/bc-mtls;ec3ade0a255d94e8329e9eb3b69ec9c2ed59e6e4
Do not log WARNING about PlacementPolicy for tests and simple setups----Descriptions of the changes in this PR:--Do not log 'New ensemble: {} is not adhering to Placement Policy. quarantinedBookies' in case of ensembleSize = 1------### Motivation--In tests cases and in simple demos it is very annoying to see that log line at "WARNING" level.--If we are requiring only 1 bookie it is not a big deal to WARN that the placement policy is not "adhering"----Reviewers: Matteo Minardi <minardi.matteo@hotmail.it>, Atri Sharma <None>, Sijie Guo <None>--This closes #2286 from eolivelli/fix/no-log-single-bookie;05fe83d6ca97d6bc415bb304e4f24537b7b06c0a
Add Journal PageCache flush interval control when journalSyncData is disabled--Descriptions of the changes in this PR:--### Motivation--There was a weird behavior observed: when journalSyncData is disabled, it will trigger callbacks when the data is flushed to filesystem(PageCache) but still enqueue a fsync request to force write queue to fsync PageCache data to disk frequently. Though the fsync thread dequeue fsync request and execute fsync operation asynchronously, it still cause disk io util increase when fsync frequency high enough. when disk io util increase, especially reach 100%, it will block new journal file creation and lead to journal sync time increases to mutiple seconds.----### Changes--when journalSyncData is disabled, we introduce `journalPageCacheFlushIntervalMSec` to control journal PageCache flush frequency to reduce disk io util, default value is 1000ms--Reviewers: Enrico Olivelli <eolivelli@gmail.com>, Jia Zhai <zhaijia@apache.org>, Sijie Guo <None>--This closes #2287 from hangc0276/bugfix;8201de86a6e04164efa4fabbf91d4c4a67bbd1fe
