message;sha
TAJO-2158: The concat_ws function can't support a tab separator.--Closes #1023--Signed-off-by: Jihoon Son <jihoonson@apache.org>;4594b6116f968af01a9bdabfec4a6fe2e244a469
TAJO-2130: Remove inet4 data type.--Closes #1007--Signed-off-by: Jihoon Son <jihoonson@apache.org>;f995e303b5a82121fbf2ecc16e06541937a17fa1
TAJO-2129: Apply new type implementation to Schema and Catalog.--Closes #1016;8d2bf407f5e462216eb84d193c300b46dc2817f9
Fix compilation error;01d2fe2a5afbaddb3b87b98159279a0962c3a124
TAJO-1686: Allow Tajo to use Hive UDF.--Closes #929--Signed-off-by: Jihoon Son <jihoonson@apache.org>;0f4bbb60cd6c6ce22771a22683cfb544e25abe46
TAJO-2071: Supporting DATE type in Parquet format.--Closes #1006;45802ccfb4439a3aebcd2dc4469769bec5858a17
TAJO-2145: Error codes based on errno.h need prefix.--Closes #1014;9da3e0d26ed13b1ab89897c3ba36b0bc199c0028
TAJO-2117: Add some missing index to MariaDBStore--Closes #1012--Signed-off-by: JaeHwa Jung <blrunner@apache.org>;96b19f12c1cf461c83717dd9817b685eee94a323
TAJO-2143: Fix race condition in task history writer.--Closes #1013;34c5d5f24c48683f59925cafbec04a832e532753
TAJO-2140: TajoInternalError does not contains reason stack trace.--Closes #1008;7f9c4c950fe28de7df6662a947733c7b8abeecb7
TAJO-2106: Fix minor typo in PostgreSQL Storage Handler documentation.--Closes #1011--Signed-off-by: Jihoon Son <jihoonson@apache.org>;fafb70633a712c3f1147f1f7dc4e1252e8ebd5a5
TAJO-2142: Temporarily disable NOT IN subquery.--Closes #1010;0a2535e677e192574221aa0547b4cbc1027a7c8b
TAJO-2135: Invalid join result when join key columns contain nulls.--Closes #1009;c156e5c936462857d26920b3c5863c9d38b3ac62
TAJO-2116: Simplify rpc address in default configuration.--Closes #997;16cbf69fe363de82e17bbb26f39ce7efa23d6546
TAJO-2110: Fix incorrect DateTime and remove hard coded tests.--Closes #993;aad78a4e7d8c2c2161bfb149e1d1343fb4352d59
TAJO-2122: PullServer as an Auxiliary service of Yarn.--Closes #1001;73ac4b87d0f7389b79be8a847e4215fc59befaff
TAJO-2126: Allow parallel execution of non-leaf sibling ExecutionBlocks.--Closes #1003;71193b218f55d33fad0f255386165b8c88bb310e
TAJO-2127: Use Type instead of DataType for EvalNode.--Closes #1005;552376a80283edf8ac974d55291c4568ba17fc96
TAJO-2125: Detect default java binary, if JAVA_HOME is not set.--Closes #1002;dc96f7e274b810a038f33613b07cd67467505672
TAJO-2123: Print parameters for parameterized tests.--Closes #1004;96507607d02fe993e26df5ddd2c5121897405d91
TAJO-2108: Refactor Schema to be immutable.--Closes #1000;4aef83a39adf1055c212df5fac8b9451e24315b4
TAJO-2112: Improve disk load, when queries run simultaneously.--Closes #995;71d2825cd66591cd7f15f15fa74b0f000a5c2590
Fix broken asf link;fe3663411d3e77b58c1b4f2f5dc0cf12e2987456
TAJO-2109: Implement Radix sort.--Closes #992;9afd9abe379cbef8c6ae2e17c19e280ed3ec2a07
TAJO-2119: Invalid sort result when sort key columns contain non-ascii values.--Closes #998;45100ced2c44e92eed1c24bc58a118e74f58d277
Fix a rat audit problem.;36f691d9f782d915f3e2268997843f9f55ad48f2
Fix indent and font size in index.apt.;401f33b9c408462100e3714306123a8b13d468e6
Update the site for 0.11.2 release.;1e40b6ee7d2a2a9269e688f48f8c269e38c506f1
TAJO-2107: TIMESTAMP type equalsTo() problem.--Closes #991--Signed-off-by: Jihoon Son <jihoonson@apache.org>;394ce580b42319ff7bd9727f3316315d5cd27b50
TAJO-2105: Apply new identifier system to new schema.--Closes #989;4046310a17100136540e9c1a3883aff8104e855e
TAJO-2104: Implement Identifier which supports quotation information.--Closes #988;49d5920242581d86c292dca3f9263bf6d2a607a7
TAJO-2099: Implement an Adapter for legacy Schema.--Closes #981;8dad551ec54ee33f40bc355376ebcb4b370a5ada
TAJO-2102: Migrate to Apache Orc from Presto's one.--Closes #985;68263585296e30f93e541c36908a652df7398b9e
TAJO-2091: Error or progress update should use stderr instead of stdout.--Closes #977;9fcc9fd3af4479c3042e4907938b18b6e264b500
TAJO-2100: Add missing cancellation in defaultTaskScheduler when a worker is no respond.--Closes #983;dbaf9725a7063ed4185671a3beda436494a00bfd
TAJO-2064: Supporting auto-completion in Tsql.--Closes #955--Signed-off-by: JaeHwa Jung <blrunner@apache.org>;17e61bd6917be93a5486c861f61e8ef2ab32ab29
TAJO-2092: TestStorages.testNullHandlingTypesWithProjection occasionally fail.--Closes #982;d25bec87ac0fe9c819cbcf79e823222fcdad239d
TAJO-2043: Implement new data type and schema.--Closes #934;ae707c82d7aca73ba58bd4288c40e6031e617202
TAJO-2095: HiveCatalogStore::existIndexesByTable should not throw UnsupportedOperationException.--Closes #976;87e2a7a22122d3d70b2f3aa83b09c2539426fdf7
TAJO-2090: Bump up orc version to 0.141.--Closes #973;823508d7901bee4ba1c43cc24665f6c50e518534
TAJO-1793: result row count unmatched for UNION ALL.--Closes #965;f115833b9ff97a178febf3753f516888a3161af7
TAJO-2089: Improve null handling in UDF.--Closes #972;6942fa39900bfd6c41ffb305844101ab9ea4c933
TAJO-2082: Aggregation on a derived table which includes union can cause incorrect result.--Closes #969;7b0af74483521615f302d2a3376556dad325297f
TAJO-2081: Incorrect task locality on single node.--Closes #968;fdb76ed2c7c06e7a9b43bbea18e202586b88606a
TAJO-2088: Change QueryTestCaseBase.runSimpleTests() to return a set of TajoResultSetBase.--Closes #971;0d94efe0fbaea5a8d9eb042b912d0713af62bc16
TAJO-2080: ArrayIndexOutOfBoundsException when performing aggregation on an union block.--Closes #967;1138784fbd1e3e7b34ce616bd308250ef59ab859
TAJO-2078: TestTajoCli.testSelectResultWithNullTrueDeprecated occasionally fails.--Closes #964--Signed-off-by: JaeHwa Jung <blrunner@apache.org>;7a9a3ec47bd9793f006aa93c97b10f0ab0383c67
TAJO-2077: Join condition causes incorrect result, when a table has an empty row file.--Closes #963;81ab265fdb77a2eedc0c9b4dccc2826b461daf56
TAJO-2033: Printing out query status with progress bar in TSQL.--Closes #924--Signed-off-by: Jihoon Son <jihoonson@apache.org>;294104d2805f8c8a18b92f9255403e73ae5fabb2
TAJO-2076: Add backward compatibility testing with hadoop on travis.--Closes #962;704a61ccb58452389ae993833b216add0ce8f397
TAJO-2074: Upgrade hadoop and netty.--Closes #961;df2b08033f1d87ac6cee85f8d4564d57533403ae
TAJO-1939: Implement PgSQLTablespace::getTableVolume() method.--Closes #960;d73f129b4b2de5d753697f697c927b743db695fa
TAJO-2017: Replace manual array copy with Collection.--Closes #907--Signed-off-by: Jinho Kim <jhkim@apache.org>;4743c6ea3e2dfef8f27ee172bdcff9004bc7640b
TAJO-2073: Upgrade parquet-mr to 1.8.1.--Closes #958;ef43dfaa5a69de8d1f3df3c23598d7b92758bacd
TAJO-2072: The constructor of RegionSizeCalculator changes for HBase 1.0.0 compatibility.--Closes #957--Signed-off-by: Jinho Kim <jhkim@apache.org>;ea1818ab93873e652aad6059b21585fdd4b0054d
TAJO-858: Support for hadoop kerberos authentication in Tajo.--Signed-off-by: Jinho Kim <jhkim@apache.org>;2fc99117f5fe45f0d8cdc862601cba639da27956
TAJO-2070: Remove unnecessarily version property in maven pom.--Closes #954;fc55d2c6c232b8de398ee7f34a616afd8a002fde
Updated the site for release 0.11.1. (missing change);5d5f733e904c47ba1dfbfb98878b5f2bcd02bfed
Updated the site for release 0.11.1. (add license);041b309602a6e213d27a0e903d9c230cd8d4299a
Updated the site for release 0.11.1.;74668a2ffc80016c87860b217bd5e100344e745e
TAJO-2052: Upgrading ORC reader version.--Closes #937--Signed-off-by: JaeHwa Jung <blrunner@apache.org>;6717e3d1f4ff234bbb99da3224978693355a6221
TAJO-2066: Fix TestJoinOnPartitionedTables.testPartialFilterPushDown failure.--Closes #951;6debe7f8a292374f06861c7464a1dab20aa088d6
TAJO-2065: Increase default heap size (missing change).;a3b347f99c975f78a1cb6d6ace65929a5f28e091
TAJO-2065: Increase default heap size.--Closes #950;06a095f068664ae08b7431e4217428807ca5cd8c
TAJO-2036: Prevent out of memory in the master server, if the query result is large.--Closes #928--Signed-off-by: Jihoon Son <jihoonson@apache.org>;e9e7a36c7b1814755e22a83e81c8ab0604064517
TAJO-1940: Implement HBaseTablespace::getTableVolume() method.--Closes #910;73a43d8b7bdba7c3963efd9df87f6e3d3a703cfd
TAJO-2061: Add description for EXPLAIN statement.--Closes #947;3cf7f24bc1133d3c0df1ef6031ce075bdf97fb7f
TAJO-2062: Fix TestQueryResult#testTemporalResultOnClose failure.--Closes #948;dfb308fdee3a5aeb5a354dcfa1c8b65fd65a1c1d
TAJO-2060: Upgrade geoip-api-java library.--Closes #946--Signed-off-by: Jinho Kim <jhkim@apache.org>;4c7c71f08a9dd2fc7596907a644c8771ccd70923
TAJO-2048: QueryMaster and TajoWorker should support the exception propagation.--Closes #936;b8b7066a23d53dbf4456e15a0a7dd18162cb8254
TAJO-2050: Adopt TAJO logo in CLI.--Closes #935--Signed-off-by: JaeHwa Jung <blrunner@apache.org>;1fc670cf9f92578a4a33c65f0b19f4d38958b033
TAJO-1921: Hbase Storage can cause NPE when the hbase cluster is restarted--Closes #918;72ebc43d6e685dad58b2bf238fae12e51c8dec96
TAJO-1740: Update Partition Table document.--Closes #896;6c87e8e9daba0a934c6dbba20b361788e42f2cda
TAJO-2053: Update description for HBase configuration.--Closes #941--Signed-off-by: JaeHwa Jung <blrunner@apache.org>;1021e7502d5cf23f417af29698b05353ea4ac926
TAJO-2057: Remove redundant class loading in plan optimizer.--Closes #943;099c2cd837c71bf0d80a13ddc6e5bff8e5c8e3ae
TAJO-2032: Change tajo.rest.service.port to be the general style in TAJO.--Closes #922--Signed-off-by: Jihoon Son <jihoonson@apache.org>;845e7c35a5eb96b6c70375ee288324c0cb052226
TAJO-1971: Replace 'for' loop with 'foreach'.--Closes #890--Signed-off-by: Jihoon Son <jihoonson@apache.org>;0d434cdba4eb08bd1a0f394866b40345bec880b5
TAJO-2041: Update the Team page.--Closes #933;869dd2315af7475b942cd0162f306d7b518542d3
TAJO-2038: NPE in DelimitedTextFileScanner#getProgress.--Closes #930;f62d34beab7fba2da6a54ad88eb37fed093c37b5
TAJO-2040: Decrease the default size of max request for locality.--Closes #931;64c31a226339d981c17fcd9778446e702db205f5
TAJO-2035: Rewrite README file using Markdown format.--Closes #926--Signed-off-by: Jinho Kim <jhkim@apache.org>;7f4422473c135a9eeedecacfd386f374f58cc39a
TAJO-1991: Tablespace::getVolume should take filter predication.--Closes #901;9c14dc3ad794ace2d2ab46c0b0185f265cc703bf
TAJO-2018: Remove redundant 'String.toString()'.--Closes #908--Signed-off-by: Jinho Kim <jhkim@apache.org>;5853b47b4211bfd5437653eab345c1fcde6259cb
TAJO-2034: Files required for executing python functions are not copied in testEval().--Closes #925;84ff9272e977ab45c8be6f9a5ac1a6b846084caf
TAJO-1705: Update document for index support.--Closes #887;f44f92fb05cacea0bc78245220ec9ae1d24c55be
TAJO-2028: Refining Hive Integration document including typo.--Closes #916--Signed-off-by: Jihoon Son <jihoonson@apache.org>;68dd960652c754a6cbd41ac68065eeca74522ed5
TAJO-1999: TUtil.newList/newLinkedHashMap should be replaced by Java's diamond operator.--Closes #891--Signed-off-by: Jihoon Son <jihoonson@apache.org>;410a53c980605a5ecda1b3e4619ae1489849b5db
TAJO-2037: tajo-storage-hdfs tests occasionally hangs.--closes #927;f9825e71bcfca9e187206756d369ee14bcb9be2e
TAJO-1944: Support text resultset for REST--Closes #876;62cc6f686021c91c85edcde00383297b711af248
TAJO-1950: Query master uses too much memory during range shuffle.--Closes #884;1f9ae1da0424731567cea18e975c47d4479b0ae9
TAJO-1858: Aligning error message in execute query page of web UI is needed.--Closes #921--Signed-off-by: Jihoon Son <jihoonson@apache.org>;e8ee7f2bf4d7cd3145626ab1383c9c53c566222b
TAJO-1997: Registering UDF, it needs to check duplication.--Closes #883--Signed-off-by: Jihoon Son <jihoonson@apache.org>;34508a76db5e846df8271d2c8ad3ab3275d2a33b
TAJO-2007: By default, Optimizer should use the table volume in TableStat.--Closes #900;c577102eefa941e1b9ba3d36f4506431ac865e3d
TAJO-2025: HBASE_LIB/metrics-core-*.jar should be included in CLASSPATH.--Closes #915--Signed-off-by: Jinho Kim <jhkim@apache.org>;d306534e9a5605b5b6cd1c38a670ec4942c82a1a
TAJO-2022: Add AsyncTaskServer to TajoMaster.--Closes #913;1515e388a764a55b7b37ce2c23ddfab21fe8115d
TAJO-2024: Remove getContentSummary from HCatalogStore.--Closes #914;cc1efb66d2945a371a698de22e1e9e493d74889a
TAJO-2020: Remove unused import statements in S3TableSpace.--Closes #912--Signed-off-by: JaeHwa Jung <blrunner@apache.org>;67b50f2f8563650bb487642fb1ff2fe48ea1e8db
TAJO-2021: Some refactoring and changing anonymous class to lambda expression.--Closes #911--Signed-off-by: Jinho Kim <jhkim@apache.org>;afa9b432fd357a2e958ece7917a7704aadb9b3ab
TAJO-1990: Refine some parts in HBaseTablespace. (fixed missed change);bfc70203b6a938013fc67b60016e677558d0ad58
TAJO-1990: Refine some parts in HBaseTablespace.--Closes #880;2aefa0dada15fbfe1f2c45534a160521f00c0758
TAJO-2019: Replace manual array copy with System.arraycopy(). (fix wrong contributor name in CHANGES)--Signed-off-by: Jihoon Son <jihoonson@apache.org>;252c311eae4e763f58cd30a932bb9eff0e9392e2
TAJO-2019: Replace manual array copy with System.arraycopy().--Closes #909--Signed-off-by: Jihoon Son <jihoonson@apache.org>;b677b988fd6ddda3516f4f9f3298dd7bf8f5d99d
TAJO-2016: Investigate storage tests hangs.--Closes #906;394879e0f01273b2c8a66aef01d6cc313a5e5f3d
TAJO-2013: FilterPushDownRule fails due to the unsupported index.--Closes #904;3d59eebd57c3af9809a7ea9199472925904ecc1c
TAJO-2014: TestRpcClientManager fails occasionally.--Closes #905;b1959116a7c129bc7de4156c366c81cebc14958a
TAJO-1994: Some trivial modification is needed in compression document.--Closes #881--Signed-off-by: Jihoon Son <jihoonson@apache.org>;c1beaa71c0406d8afa86bde4c036e9a4b55b16b1
TAJO-1973: Replace 'while' loop with 'foreach'.--Closes #858--Signed-off-by: Jihoon Son <jihoonson@apache.org>;5d6c1af954443fefa07767c476821bc6f8bb902a
TAJO-2000: BSTIndex can cause OOM. (remove open() in init);17af809cc15c5cd43a4547d733955432f38c4c3d
TAJO-2000: BSTIndex can cause OOM.--Closes #892;ee6c2b5fe75753ea0b5b54e833e86e368b7ef3b2
TAJO-1992 \set timezone in cli doesn't work because of casesensitive--Closes #886;c770fe75caa44887ffb2bd17ad1d6b627f8e643e
TAJO-1993: Table Timezone doesn't work when Timezone is not exactly same.--Closes #888;4b53643d47f9afbd8ec52db9cb7d7fae8b03875d
TAJO-2005: Add TableStatUpdateRewriter.--Closes #899;158bf1df931d92fc937e53af96ea382055424643
TAJO-2010: Parquet can not read null value.--Closes #903;80218d03dffbb16eaaf8eb8b82010c3e98e617d5
TAJO-1948: Change GroupbyNode::setAggFunctions and getAggFunctions to set and get List.--Closes #897;0ec2a890c73c79944fb6a0233226c00a0d0b06d1
TAJO-1979: Usage of some TajoShellCommand is omitted.--Closes #862;f775d7d29d2a7cc5fa7a8e9753548006fac8719f
TAJO-1998: Waiting for gracefully stopping in tajo-deamon.sh is too short.--Closes #885;e8dc34375d4fac329d5e79d17a221af007de814e
TAJO-2004: S3TableSpace needs to extend FileTableSpace.--Closes #898;8c8048a44cb63073a1a5fda1a653e239558b96cb
TAJO-2001: DirectRawFileScanner.getProgress occasionally fails.--Closes #894;8d513a5e8c8c8d5b69ba9630329736bb2bb7b86e
TAJO-1960: Separate HDFS space handler and S3 space handler.--Closes #868;3852ae3d0d3fcb30ebff73f087ce34f3e1fc5bfb
TAJO-1855: Add document for tablespace configuration to the Configuration chapter.--Closes #873--Signed-off-by: Jihoon Son <jihoonson@apache.org>;f2552bfb9c0a3b57f66e89a9e635a0d1afbeebc8
TAJO-1854: Add in-subquery document.--Closes #889;0af53d025150d7126fda2117e42a40e2e7f31fb5
TAJO-2003: Fix typo in worker configuration.--Closes #895;068c79e7b6df5539598fe68249c2196016c472f6
TAJO-1753: GlobalEngine causes NPE occurs occasionally.--Closes #882;ce44234365c585c1f1444aa2b00aaf12e96de229
TAJO-1985: Add reporting metrics via JMX.--closes #879--Signed-off-by: Jinho Kim <jhkim@apache.org>;821fc172b93125170aed85aa6f9ff19a727999d4
TAJO-1856: Add a description about the relationship of tablespace, managed table, and external table to Tablespace section of Table Management chapter.--Closes #878--Signed-off-by: Jihoon Son <jihoonson@apache.org>;ee7279d237b17401a144778a1bcbf9bbccf220f2
TAJO-1962: Add description for session variables.--Closes #848;e52c33089608f6621c590066d429bf11de3a4843
TAJO-1922: Allow date types with IN operator for partition pruning. (modify changes);a1e852b9fba64e9085b704792293647dd52180f9
TAJO-1922: Allow date types with IN operator for partition pruning.--Closes #819;492588d62e1f1300854e51c61b79c4e875d7f15a
TAJO-1983: Improve memory usage of ExternalSortExec.--Closes #869;550c0189b9ac06f20d4ef70feb7ef743c0b06d0f
TAJO-1967: Replace 'try finally' with 'try' with resources.--Closes #852--Signed-off-by: Jihoon Son <jihoonson@apache.org>;4e0a7a33cb055a77f6a29f1e7520d6344616ec7b
TAJO-1947: Change Projection::setNamedExprs and getNamedExprs to set and get List<NamedExpr>.--Closes #842;0dcb702a0b92ce0585a788c0fe49a2ef5bcbb79d
TAJO-1857: Rename the section of 'File Formats' to 'Data Formats' and fill compression section of the 'Table Management' chapter.--Signed-off-by: Jihoon Son <jihoonson@apache.org>;149a44d85c5bcd7677dfd5db3a3d39644a4c8194
TAJO-1862: TSQL gives user wrong URL of documentation.--Closes #867;8457d85a3d138f62dd7803ea1aacc7bffdc66cdd
TAJO-1986: Rename the name 'option' to 'property' in TableMeta.--Closes #872;b3d4a34029acb6edca83e3a41422c914dfd88ee1
TAJO-1988: Remove some duplicated codes in toString() of Projectable.--Closes #875;8b2fe11451c432b58f48a0173e433c12865d5a8c
TAJO-1984: Removed unused FileTablespace::getSplit methods.;0be254c8bd5de1f992bcefb129b0b02904909f0a
TAJO-1980: Printout the usage of TajoShellCommand.--Closes #863--Signed-off-by: JaeHwa Jung <blrunner@apache.org>;ef682ccc9e3b187ccc52810eac184ad2b149c4ba
TAJO-1981: Invalid nulls sort order in VectorizedSorter.--Closes #865;090ce1710ffc8b6131f942af3b77cc6ffdd0ba40
TAJO-1946: Change Projectable::setTargets and getTargets to set and get List<Target>.--Closes #839--Signed-off-by: Jihoon Son <jihoonson@apache.org>;a2a5c14e412cfab316c87bfeadcddf11e6391e08
TAJO-1935: Some Tasks don't work after they become TA_ASSIGNED.--Closes #864;4fd1739d491f547757eaa9d26e37a496eca02d92
TAJO-1271: Improve memory usage of Hash-shuffle.--Closes #837;411a26d5d45fb466d4c3c22806c67aedde14b623
TAJO-1977: Cannot recognize the space-contained tablename and databasename.--Closes #860--Signed-off-by: Jihoon Son <jihoonson@apache.org>;10159c7f84a203194e7124a5cbbcbcc6ce2f9b95
TAJO-1978: Printout message before terminating TSQL.--Closes #861--Signed-off-by: JaeHwa Jung <blrunner@apache.org>;74bde9c640053ebcd212a987310d5dd172a0f776
TAJO-1975: Gathering fine-grained column statistics for range shuffle.--Closes #859;011fcd922d0a809e8d6d88de441594fd13f649a0
TAJO-1965: TestBlockingRpc::testServerShutdown occassionally fails.--Closes #849;ed660379263add03f50fb68016c57ac40e5897a4
TAJO-1882: Clean up GreedyHeuristicJoinOrderAlgorithm::getCost APIs.--Closes #817;8ad250eb9c81e6dec204bfddfcca85cca2937b54
TAJO-1963: Add more configuration descriptions to document.--Closes #844;254c923944a4859ca1f5180c122420c750c8154c
TAJO-1972: Invalid sort order with NULLS FIRST|LAST.--Closes #857;46bc8bf7901ca124c76a6c1cfb0c3b161c8ad7d2
TAJO-1970: Change the null first syntax.--Closes #856;e84df9ccb1d5e30a08de136efd6f5842b2555a16
TAJO-1896: Fix the travis test failure.--Closes #851;68d2c702074660bf45f60bfaf0b0bff1fbe7d5d5
TAJO-1964: TestKillQuery::testKillQueryFromInitState causes NPE.--Closes #847;6c3ae723f4613d36d05a76d01cd394aa788857ba
TAJO-1966: Decrease memory usage of TajoTestingCluster.--Closes #850;3b0b68375245c5123f9891e0f25bcbe15e9a2a20
TAJO-1941: PermGen elimination in JDK 8.--Closes #833;c6ad554e52355a0604c8883cf02bb1579214b42e
TAJO-1955: Add a feature to strip quotes from CSV file.--Closes #840;e5a01e0935e7816fb89a3a2c7fc97630e1d226d5
TAJO-1904: Extend GraphVisitor to accept user-defined context.--Closes #797;3224addb3707855bb8326157e873a3faa0761ac3
Close obsolete github tickets.--closes #30-closes #200-closes #268-closes #301-closes #377-closes #398-closes #411-closes #430-closes #432-closes #433-closes #437-closes #439-closes #465-closes #466-closes #468-closes #510-closes #511-closes #514-closes #515-closes #516-closes #517-closes #527-closes #558;90cb945accc7c23282e0603312c954663df8f06f
TAJO-1920: Calling 'Collection.toArray()' with zero-length array argument makes performance worse. (Dongkyu Hwangbo via hyunsik)--Closes #816;0f1e1df48aa3d393764b172b42a1458f3ab8a2ae
TAJO-1578: User configuration for pull server port is ignored.--Closes #820--Signed-off-by: Jihoon Son <jihoonson@apache.org>;4189f91d78e01d2a9524b44990093db4c435dc17
TAJO-1954: Fix memory leak in physical operator.--Closes #838;f4abd4e993f149b8d796da43d2dfdb47d1701dba
TAJO-1906: Decrease the default size of hash map and array list for testing.--Closes #799;3ca900d7a01b60f689d8ecd411e30b7e36620d80
Update site for 0.11.0 release. (add missing license);690bc0974234fffb6657d9be003d8516faafe03e
Update site for 0.11.0 release. (add missing changes);c865074eb05c078ddfeefbc33886b0cb1d10f13e
Update site for 0.11.0 release.;94d005532932c96ed357a5d1d25dfe26c60dc8ce
TAJO-1877: Adopt try-resource statement to AbstractDBStore.--Closes #835--Signed-off-by: Jihoon Son <jihoonson@apache.org>;8491b5dfa1ea000f75fcb2d4db4d0f53fe34fa36
